C:\Users\92830\Anaconda3\envs\cwhpytorch\python.exe C:/Users/92830/Desktop/hw2/ProjectinML/train_fcn.py
[epoch 1,images 10] training loss = 0.66368  time: 3.010 s
[epoch 1,images 20] training loss = 0.72235  time: 2.098 s
[epoch 1,images 30] training loss = 0.69805  time: 2.097 s
[epoch 1,images 40] training loss = 0.70742  time: 2.097 s
[epoch 1,images 50] training loss = 0.69582  time: 2.122 s
[epoch 1,images 60] training loss = 0.68438  time: 2.099 s
[epoch 1,images 70] training loss = 0.67955  time: 2.109 s
[epoch 1,images 80] training loss = 0.68017  time: 2.118 s
[epoch 1,images 90] training loss = 0.66094  time: 2.146 s
[epoch 1,images 100] training loss = 0.66110  time: 2.138 s
[epoch 1,images 110] training loss = 0.64870  time: 2.179 s
[epoch 1,images 120] training loss = 0.63925  time: 2.164 s
[epoch 1,images 130] training loss = 0.63770  time: 2.120 s
[epoch 1,images 140] training loss = 0.61508  time: 2.122 s
[epoch 1,images 150] training loss = 0.59751  time: 2.128 s
[epoch 1,images 160] training loss = 0.59219  time: 2.134 s
[epoch 1,images 170] training loss = 0.58172  time: 2.118 s
[epoch 1,images 180] training loss = 0.55691  time: 2.116 s
[epoch 1,images 190] training loss = 0.55519  time: 2.103 s
[epoch 1,images 200] training loss = 0.52977  time: 2.099 s
[epoch 1,images 210] training loss = 0.52488  time: 2.134 s
[epoch 1,images 220] training loss = 0.51555  time: 2.173 s
[epoch 1,images 230] training loss = 0.52402  time: 2.111 s
[epoch 1,images 240] training loss = 0.49378  time: 2.120 s
[epoch 1,images 250] training loss = 0.47403  time: 2.199 s
[epoch 1,images 260] training loss = 0.46063  time: 2.145 s
[epoch 1,images 270] training loss = 0.45962  time: 2.138 s
[epoch 1,images 280] training loss = 0.42753  time: 2.180 s
[epoch 1,images 290] training loss = 0.45308  time: 2.192 s
[epoch 1,images 300] training loss = 0.44371  time: 2.141 s
[epoch 1,images 310] training loss = 0.42194  time: 2.274 s
[epoch 1,images 320] training loss = 0.41476  time: 2.164 s
[epoch 1,images 330] training loss = 0.39224  time: 2.134 s
[epoch 1,images 340] training loss = 0.36084  time: 2.145 s
[epoch 1,images 350] training loss = 0.35421  time: 2.136 s
[epoch 1,images 360] training loss = 0.34356  time: 2.147 s
[epoch 1,images 370] training loss = 0.32791  time: 2.139 s
[epoch 1,images 380] training loss = 0.34481  time: 2.152 s
[epoch 1,images 390] training loss = 0.32804  time: 2.140 s
[epoch 1,images 400] training loss = 0.31146  time: 2.148 s
[epoch 1,images 410] training loss = 0.30193  time: 2.137 s
[epoch 1,images 420] training loss = 0.29084  time: 2.134 s
[epoch 1,images 430] training loss = 0.27883  time: 2.145 s
epoch 1	val_loss:0.22760479173798492
[epoch 2,images 10] training loss = 0.23605  time: 1.915 s
[epoch 2,images 20] training loss = 0.24960  time: 2.149 s
[epoch 2,images 30] training loss = 0.25609  time: 2.149 s
[epoch 2,images 40] training loss = 0.23734  time: 2.182 s
[epoch 2,images 50] training loss = 0.22901  time: 2.179 s
[epoch 2,images 60] training loss = 0.21865  time: 2.192 s
[epoch 2,images 70] training loss = 0.20454  time: 2.185 s
[epoch 2,images 80] training loss = 0.21248  time: 2.175 s
[epoch 2,images 90] training loss = 0.20873  time: 2.190 s
[epoch 2,images 100] training loss = 0.18489  time: 2.154 s
[epoch 2,images 110] training loss = 0.17435  time: 2.176 s
[epoch 2,images 120] training loss = 0.16307  time: 2.170 s
[epoch 2,images 130] training loss = 0.16050  time: 2.213 s
[epoch 2,images 140] training loss = 0.14301  time: 2.219 s
[epoch 2,images 150] training loss = 0.14274  time: 2.187 s
[epoch 2,images 160] training loss = 0.13364  time: 2.192 s
[epoch 2,images 170] training loss = 0.14987  time: 2.189 s
[epoch 2,images 180] training loss = 0.12971  time: 2.182 s
[epoch 2,images 190] training loss = 0.12528  time: 2.180 s
[epoch 2,images 200] training loss = 0.13003  time: 2.159 s
[epoch 2,images 210] training loss = 0.11105  time: 2.152 s
[epoch 2,images 220] training loss = 0.10534  time: 2.154 s
[epoch 2,images 230] training loss = 0.12248  time: 2.167 s
[epoch 2,images 240] training loss = 0.09876  time: 2.170 s
[epoch 2,images 250] training loss = 0.09232  time: 2.174 s
[epoch 2,images 260] training loss = 0.09312  time: 2.207 s
[epoch 2,images 270] training loss = 0.09220  time: 2.179 s
[epoch 2,images 280] training loss = 0.09349  time: 2.179 s
[epoch 2,images 290] training loss = 0.06768  time: 2.183 s
[epoch 2,images 300] training loss = 0.08693  time: 2.186 s
[epoch 2,images 310] training loss = 0.07091  time: 2.149 s
[epoch 2,images 320] training loss = 0.07895  time: 2.150 s
[epoch 2,images 330] training loss = 0.07973  time: 2.167 s
[epoch 2,images 340] training loss = 0.07484  time: 2.212 s
[epoch 2,images 350] training loss = 0.06911  time: 2.193 s
[epoch 2,images 360] training loss = 0.06929  time: 2.202 s
[epoch 2,images 370] training loss = 0.05965  time: 2.192 s
[epoch 2,images 380] training loss = 0.06641  time: 2.171 s
[epoch 2,images 390] training loss = 0.06003  time: 2.171 s
[epoch 2,images 400] training loss = 0.06194  time: 2.204 s
[epoch 2,images 410] training loss = 0.06914  time: 2.196 s
[epoch 2,images 420] training loss = 0.05855  time: 2.218 s
[epoch 2,images 430] training loss = 0.04250  time: 2.190 s
epoch 2	val_loss:0.0338413177445027
[epoch 3,images 10] training loss = 0.03213  time: 1.951 s
[epoch 3,images 20] training loss = 0.05095  time: 2.266 s
[epoch 3,images 30] training loss = 0.05780  time: 2.229 s
[epoch 3,images 40] training loss = 0.03961  time: 2.225 s
[epoch 3,images 50] training loss = 0.05084  time: 2.174 s
[epoch 3,images 60] training loss = 0.04305  time: 2.196 s
[epoch 3,images 70] training loss = 0.04691  time: 2.186 s
[epoch 3,images 80] training loss = 0.05587  time: 2.148 s
[epoch 3,images 90] training loss = 0.05412  time: 2.158 s
[epoch 3,images 100] training loss = 0.03045  time: 2.155 s
[epoch 3,images 110] training loss = 0.06023  time: 2.207 s
[epoch 3,images 120] training loss = 0.04244  time: 2.187 s
[epoch 3,images 130] training loss = 0.05077  time: 2.203 s
[epoch 3,images 140] training loss = 0.03508  time: 2.153 s
[epoch 3,images 150] training loss = 0.02973  time: 2.154 s
[epoch 3,images 160] training loss = 0.03468  time: 2.189 s
[epoch 3,images 170] training loss = 0.04774  time: 2.186 s
[epoch 3,images 180] training loss = 0.03663  time: 2.196 s
[epoch 3,images 190] training loss = 0.02969  time: 2.179 s
[epoch 3,images 200] training loss = 0.05956  time: 2.195 s
